epoch,train_mae,val_mae
1,3181.0365333212253,3185.4079837076147
2,2341.567053856252,2344.146982891967
3,3117.2188176248983,3143.663312488981
4,2236.459704554392,2242.334412197706
5,1960.419915571415,1983.3761203676556
6,1880.1480967011184,1906.1406298230668
7,1760.9980617586023,1799.2379402568333
8,1756.5372376927446,1772.5575843458364
9,1911.7146667778904,1911.8821681999705
10,1637.778289181284,1660.4298129234796
11,1600.0690023902528,1616.7736411433239
12,1563.2934205909958,1577.8296582774324
13,1575.4697889097674,1586.404310712562
14,1658.6264016368543,1658.0314495837792
15,1712.91034883103,1747.2192345726912
16,1625.501365394075,1656.6960270534926
17,1526.6673166448004,1560.4661876223595
18,1544.1585805570573,1552.8188663172223
19,1533.0660945678771,1551.6048791995995
20,1575.1466954497805,1583.821919349254
21,1503.7478328549978,1522.8282522781133
22,1780.4799084282538,1798.8675374059037
23,1488.25966625864,1490.7852251095267
24,1522.820898942451,1550.3949141508008
25,1511.3108167908954,1543.1320249503783
26,1484.2964149897218,1508.356583569782
27,1489.5444844626566,1530.4670235048393
28,1614.5639336144134,1649.503642564662
29,1512.0807157447532,1548.994238834652
30,1522.235240167915,1565.486154651388
31,1371.8184722316369,1417.6682901093768
32,1369.0881472931426,1410.6550587719835
33,1373.3201224941865,1414.796904036598
34,1370.8970389393053,1423.568188241233
35,1361.426316509338,1406.8613195782991
36,1415.6180767585151,1458.6889502706752
37,1342.4662894754679,1393.4625787049235
38,1380.2854342106596,1424.7678532301939
39,1379.6759864178582,1418.0549833093078
40,1418.3435900576742,1472.1994458876177
41,1398.3736499809547,1446.9093629773242
42,1361.6223924613037,1424.4833025484863
43,1385.0566030415066,1431.853659724614
44,1341.739340780412,1400.6543537630446
45,1301.6789389036185,1371.7430676421682
46,1308.594994756624,1381.8357000911135
47,1292.1533400460612,1363.527358376664
48,1302.0571115758582,1371.8395729000458
49,1309.5580993261826,1374.0498409289405
50,1289.138628613816,1360.8140064783634
51,1269.1673981535334,1355.2039646347414
52,1289.3224716935558,1354.5420782729798
53,1287.264391214715,1362.4483739355894
54,1282.838041941981,1367.4907287104127
55,1270.9573441248906,1354.7240241358943
56,1279.1253999199027,1360.0981742771437
57,1286.851617057621,1365.1804796413549
58,1278.2405380771877,1361.175953694874
59,1270.6687712280004,1348.5748394153036
60,1271.2634619732669,1353.897229110228
61,1264.5768295042355,1338.936782649295
62,1259.403743575343,1354.0673503074256
63,1283.3135014847142,1367.9150887253247
64,1258.1733090633713,1353.1854967266033
65,1263.986182711603,1352.2654509423048
66,1272.7045180327812,1359.7643555479979
67,1287.0293463946384,1362.5498192015864
68,1251.7996302666709,1344.639292150274
69,1221.5110463521273,1318.2472411274198
70,1235.7516505718431,1336.1716955961447
71,1217.8745191106693,1322.4274430561293
72,1216.781948688413,1322.8498360802064
73,1225.6479754817237,1329.5204529045475
74,1210.5015347193837,1310.5551701227366
75,1211.0926974515637,1316.9438890364504
76,1205.852000495496,1313.9698430319038
77,1202.0289670701566,1310.3702972353594
78,1209.2430377701075,1316.670590220594
79,1244.8340051197779,1344.5153581871728
80,1204.9529668485272,1313.0975529748591
81,1197.1417829408952,1312.0056743519033
82,1212.0635417605479,1323.6087313618227
83,1204.7307628094522,1315.876073887928
84,1199.2975842459684,1314.67200074201
85,1194.290143528531,1306.1802771324951
86,1193.2993561863138,1305.2211196148253
87,1189.3430529498214,1308.188033214154
88,1182.1870202716323,1302.334835223371
89,1200.2660066774156,1313.7514763740485
90,1181.3031861440618,1299.9413576751185
91,1184.3711982969235,1304.4562341958872
92,1186.765771340394,1303.447510546456
93,1205.1210343087016,1315.2764304427071
94,1174.118609132369,1297.9834150569316
95,1181.7115474543425,1302.788000150463
96,1188.6856710962677,1308.8205762736293
97,1176.1926747067835,1300.5536494020075
98,1202.4491662694043,1317.2836247611142
99,1177.677653438061,1301.3650264230282
100,1191.8806453786237,1313.2078847639543
