"id","url_hash","url","name","logo","created_at","updated_at",""
"39","c8d01c31","https://www.autoevolution.com/genesis/","GENESIS","https://s1.cdn.autoevolution.com/images/producers/genesis-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"40","3e466512","https://www.autoevolution.com/gmc/","GMC","https://s1.cdn.autoevolution.com/images/producers/gmc-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"41","89a5db16","https://www.autoevolution.com/gordon-murray-automotive/","GORDON MURRAY Automotive","https://s1.cdn.autoevolution.com/images/producers/gordon-murray-automotive-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"42","ca1b3677","https://www.autoevolution.com/gta-motor/","GTA Motor","https://s1.cdn.autoevolution.com/images/producers/gta-motor-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"43","50756aed","https://www.autoevolution.com/hindustan/","HINDUSTAN","https://s1.cdn.autoevolution.com/images/producers/hindustan-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"44","d664630a","https://www.autoevolution.com/holden/","HOLDEN","https://s1.cdn.autoevolution.com/images/producers/holden-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"45","f2db5288","https://www.autoevolution.com/honda/","HONDA","https://s1.cdn.autoevolution.com/images/producers/honda-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"46","094385e0","https://www.autoevolution.com/hummer/","HUMMER","https://s1.cdn.autoevolution.com/images/producers/hummer-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"47","bedfdcc8","https://www.autoevolution.com/hyundai/","HYUNDAI","https://s1.cdn.autoevolution.com/images/producers/hyundai-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"48","ce0fe5ff","https://www.autoevolution.com/ineos/","INEOS","https://s1.cdn.autoevolution.com/images/producers/ineos-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"49","e3d29582","https://www.autoevolution.com/infiniti/","INFINITI","https://s1.cdn.autoevolution.com/images/producers/infiniti-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"50","24a6d55d","https://www.autoevolution.com/isuzu/","ISUZU","https://s1.cdn.autoevolution.com/images/producers/isuzu-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"51","55a3a57e","https://www.autoevolution.com/jaguar/","JAGUAR","https://s1.cdn.autoevolution.com/images/producers/jaguar-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"52","6fcff708","https://www.autoevolution.com/jeep/","JEEP","https://s1.cdn.autoevolution.com/images/producers/jeep-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"53","f6b63b2b","https://www.autoevolution.com/karma/","Karma","https://s1.cdn.autoevolution.com/images/producers/karma-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"54","22beea30","https://www.autoevolution.com/kia/","KIA","https://s1.cdn.autoevolution.com/images/producers/kia-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"55","8e03e045","https://www.autoevolution.com/koenigsegg/","KOENIGSEGG","https://s1.cdn.autoevolution.com/images/producers/koenigsegg-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"56","0a6e73ea","https://www.autoevolution.com/ktm/","KTM","https://s1.cdn.autoevolution.com/images/producers/ktm-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"57","bb397c05","https://www.autoevolution.com/lada/","LADA","https://s1.cdn.autoevolution.com/images/producers/lada-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"58","8ec4167b","https://www.autoevolution.com/lamborghini/","LAMBORGHINI","https://s1.cdn.autoevolution.com/images/producers/lamborghini-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"59","8847f78a","https://www.autoevolution.com/lancia/","LANCIA","https://s1.cdn.autoevolution.com/images/producers/lancia-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"60","1e3865db","https://www.autoevolution.com/land-rover/","LAND ROVER","https://s1.cdn.autoevolution.com/images/producers/land-rover-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"61","9a0e0bac","https://www.autoevolution.com/lexus/","LEXUS","https://s1.cdn.autoevolution.com/images/producers/lexus-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"62","db83bd1f","https://www.autoevolution.com/lightyear/","LIGHTYEAR","https://s1.cdn.autoevolution.com/images/producers/lightyear-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"63","273dac88","https://www.autoevolution.com/lincoln/","LINCOLN","https://s1.cdn.autoevolution.com/images/producers/lincoln-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"64","8912e7fa","https://www.autoevolution.com/lotus/","LOTUS","https://s1.cdn.autoevolution.com/images/producers/lotus-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"65","49648178","https://www.autoevolution.com/lucid-motors/","Lucid Motors","https://s1.cdn.autoevolution.com/images/producers/lucid-motors-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"66","927b1e16","https://www.autoevolution.com/mahindra/","Mahindra","https://s1.cdn.autoevolution.com/images/producers/mahindra-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"67","98a3dc88","https://www.autoevolution.com/marussia-motors/","MARUSSIA","https://s1.cdn.autoevolution.com/images/producers/marussia-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"68","e53c5e29","https://www.autoevolution.com/maruti-suzuki/","MARUTI SUZUKI","https://s1.cdn.autoevolution.com/images/producers/maruti-suzuki-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"69","d0e5802b","https://www.autoevolution.com/maserati/","MASERATI","https://s1.cdn.autoevolution.com/images/producers/maserati-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"70","0475bdc9","https://www.autoevolution.com/maybach/","MAYBACH","https://s1.cdn.autoevolution.com/images/producers/maybach-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"71","53c93c87","https://www.autoevolution.com/mazda/","MAZDA","https://s1.cdn.autoevolution.com/images/producers/mazda-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"72","6734ab3b","https://www.autoevolution.com/mclaren/","MCLAREN","https://s1.cdn.autoevolution.com/images/producers/mclaren-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"73","09f234aa","https://www.autoevolution.com/mercedes-benz/","MERCEDES BENZ","https://s1.cdn.autoevolution.com/images/producers/mercedes-benz-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"74","4b4e9ce2","https://www.autoevolution.com/mercedes-amg/","Mercedes-AMG","https://s1.cdn.autoevolution.com/images/producers/mercedes-amg-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"75","ac8cef18","https://www.autoevolution.com/mercury/","MERCURY","https://s1.cdn.autoevolution.com/images/producers/mercury-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"76","f5cfb51e","https://www.autoevolution.com/mg/","MG","https://s1.cdn.autoevolution.com/images/producers/mg-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"77","58b8a732","https://www.autoevolution.com/mini/","MINI","https://s1.cdn.autoevolution.com/images/producers/mini-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"78","63ef8a2d","https://www.autoevolution.com/mitsubishi/","MITSUBISHI","https://s1.cdn.autoevolution.com/images/producers/mitsubishi-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"79","d5f4686b","https://www.autoevolution.com/morgan/","MORGAN","https://s1.cdn.autoevolution.com/images/producers/morgan-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"80","6494ecff","https://www.autoevolution.com/nio/","NIO","https://s1.cdn.autoevolution.com/images/producers/nio-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"81","dd658d22","https://www.autoevolution.com/nissan/","NISSAN","https://s1.cdn.autoevolution.com/images/producers/nissan-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"82","34c19092","https://www.autoevolution.com/oldsmobile/","OLDSMOBILE","https://s1.cdn.autoevolution.com/images/producers/oldsmobile-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"83","9829bfe9","https://www.autoevolution.com/opel/","OPEL","https://s1.cdn.autoevolution.com/images/producers/opel-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"84","c43a9d1d","https://www.autoevolution.com/pagani/","PAGANI","https://s1.cdn.autoevolution.com/images/producers/pagani-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"85","b9270af0","https://www.autoevolution.com/panoz/","PANOZ","https://s1.cdn.autoevolution.com/images/producers/panoz-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"86","49e82a85","https://www.autoevolution.com/perodua/","PERODUA","https://s1.cdn.autoevolution.com/images/producers/perodua-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"87","b0d9e4ce","https://www.autoevolution.com/peugeot/","PEUGEOT","https://s1.cdn.autoevolution.com/images/producers/peugeot-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"88","222e13ea","https://www.autoevolution.com/pininfarina/","Pininfarina","https://s1.cdn.autoevolution.com/images/producers/pininfarina-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"89","0e3a40a9","https://www.autoevolution.com/plymouth/","PLYMOUTH","https://s1.cdn.autoevolution.com/images/producers/plymouth-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"90","25962213","https://www.autoevolution.com/polestar/","Polestar","https://s1.cdn.autoevolution.com/images/producers/polestar-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"91","dcdc5891","https://www.autoevolution.com/pontiac/","PONTIAC","https://s1.cdn.autoevolution.com/images/producers/pontiac-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"92","15a421c6","https://www.autoevolution.com/porsche/","PORSCHE","https://s1.cdn.autoevolution.com/images/producers/porsche-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"93","91c9d6a6","https://www.autoevolution.com/proton/","PROTON","https://s1.cdn.autoevolution.com/images/producers/proton-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"94","7c1a7f32","https://www.autoevolution.com/qoros/","QOROS","https://s1.cdn.autoevolution.com/images/producers/qoros-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
